PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Moses Brown,DAL,8,8,50,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Naji Marshall,DAL,37,37,1094,311,99,176,56.3,46,54,85.2,248,79.7,83,26.7,21,6.8,24,7.7,27,8.7
Olivier-Maxence Prosper,DAL,25,25,317,59,8,23,34.8,11,12,91.7,27,45.8,24,40.7,7,11.9,3,5.1,6,10.2
P.J. Washington,DAL,26,26,855,210,48,111,43.2,30,42,71.4,130,61.9,53,25.2,9,4.3,19,9.0,21,10.0
Spencer Dinwiddie,DAL,42,42,1174,356,68,154,44.2,42,54,77.8,187,52.5,140,39.3,32,9.0,19,5.3,27,7.6
Aaron Gordon,DEN,18,18,542,51,10,22,45.5,11,16,68.8,32,62.7,16,31.4,3,5.9,4,7.8,8,15.7
Christian Braun,DEN,31,31,1061,124,32,66,48.5,12,14,85.7,81,65.3,41,33.1,8,6.5,10,8.1,7,5.6
Dario Šarić,DEN,9,9,140,12,3,7,42.9,0,2,0.0,6,50.0,4,33.3,1,8.3,0,0.0,1,8.3
DeAndre Jordan,DEN,19,19,240,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hunter Tyson,DEN,21,21,132,8,3,5,60.0,0,0,0.0,6,75.0,3,37.5,1,12.5,0,0.0,0,0.0
Jalen Pickett,DEN,18,18,268,41,5,9,55.6,2,2,100.0,12,29.3,30,73.2,8,19.5,1,2.4,1,2.4
Jamal Murray,DEN,26,26,959,285,64,136,47.1,20,20,100.0,153,53.7,114,40.0,41,14.4,15,5.3,10,3.5
Julian Strawther,DEN,24,24,432,65,16,40,40.0,11,12,91.7,43,66.2,15,23.1,6,9.2,3,4.6,6,9.2
Michael Porter Jr.,DEN,30,30,1025,91,24,46,52.2,12,18,66.7,60,65.9,23,25.3,6,6.6,10,11.0,9,9.9
Nikola Jokić,DEN,24,24,911,149,37,71,52.1,16,22,72.7,92,61.7,54,36.2,12,8.1,5,3.4,11,7.4
PJ Hall,DEN,7,7,29,3,1,1,100.0,2,2,100.0,4,133.3,1,33.3,0,0.0,0,0.0,1,33.3
Peyton Watson,DEN,28,28,672,47,11,20,55.0,7,8,87.5,29,61.7,20,42.6,3,6.4,3,6.4,4,8.5
Russell Westbrook,DEN,32,32,907,295,50,107,46.7,18,32,56.3,122,41.4,135,45.8,22,7.5,29,9.8,16,5.4
Spencer Jones,DEN,7,7,70,4,1,3,33.3,0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Trey Alexander,DEN,9,9,48,16,1,5,20.0,0,0,0.0,2,12.5,10,62.5,2,12.5,1,6.3,0,0.0
Vlatko Čančar,DEN,11,11,101,2,1,1,100.0,0,0,0.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0
Zeke Nnaji,DEN,21,21,192,8,0,5,0.0,0,0,0.0,0,0.0,3,37.5,1,12.5,0,0.0,0,0.0
Ausar Thompson,DET,25,25,565,114,25,55,45.5,14,20,70.0,64,56.1,37,32.5,8,7.0,9,7.9,10,8.8
Bobi Klintman,DET,4,4,31,5,1,1,100.0,0,0,0.0,2,40.0,4,80.0,2,40.0,0,0.0,0,0.0
Cade Cunningham,DET,32,32,1143,599,169,333,50.8,74,86,86.0,425,71.0,173,28.9,52,8.7,34,5.7,43,7.2
Daniss Jenkins,DET,4,4,18,3,1,1,100.0,0,2,0.0,2,66.7,1,33.3,0,0.0,0,0.0,1,33.3
Dennis Schröder,DET,38,38,1106,401,67,154,43.5,36,48,75.0,175,43.6,182,45.4,52,13.0,27,6.7,24,6.0
Isaiah Stewart,DET,34,34,660,11,3,4,75.0,0,0,0.0,6,54.5,5,45.5,1,9.1,2,18.2,0,0.0
Jaden Ivey,DET,16,16,447,151,26,74,35.1,23,30,76.7,77,51.0,43,28.5,13,8.6,17,11.3,15,9.9
Jalen Duren,DET,35,35,889,61,16,32,50.0,12,18,66.7,46,75.4,13,21.3,1,1.6,5,8.2,10,16.4
Lindy Waters III,DET,25,25,443,28,6,16,37.5,0,0,0.0,12,42.9,9,32.1,0,0.0,3,10.7,0,0.0
Malik Beasley,DET,38,38,1059,115,29,73,39.7,7,12,58.3,67,58.3,29,25.2,12,10.4,6,5.2,6,5.2
Marcus Sasser,DET,27,27,395,105,27,46,58.7,0,0,0.0,58,55.2,46,43.8,14,13.3,7,6.7,0,0.0
Paul Reed,DET,23,23,247,20,5,12,41.7,5,6,83.3,15,75.0,5,25.0,1,5.0,0,0.0,3,15.0
Ronald Holland II,DET,37,37,566,94,21,44,47.7,10,16,62.5,54,57.4,27,28.7,3,3.2,12,12.8,8,8.5
Simone Fontecchio,DET,37,37,600,53,13,27,48.1,8,10,80.0,35,66.0,13,24.5,1,1.9,6,11.3,5,9.4
Tim Hardaway Jr.,DET,36,36,986,65,18,46,39.1,11,14,78.6,51,78.5,9,13.8,4,6.2,2,3.1,7,10.8
Tobias Harris,DET,33,33,1008,117,36,81,44.4,11,12,91.7,85,72.6,20,17.1,2,1.7,8,6.8,6,5.1
Brandin Podziemski,GSW,26,26,713,148,29,61,47.5,12,16,75.0,73,49.3,68,45.9,18,12.2,7,4.7,8,5.4
Buddy Hield,GSW,34,34,781,87,15,38,39.5,2,2,100.0,32,36.8,39,44.8,3,3.4,9,10.3,1,1.1
Draymond Green,GSW,26,26,765,81,17,33,51.5,6,8,75.0,42,51.9,33,40.7,6,7.4,8,9.9,4,4.9
Gary Payton II,GSW,26,26,382,23,10,16,62.5,1,2,50.0,22,95.7,5,21.7,1,4.3,0,0.0,1,4.3
Gui Santos,GSW,20,20,252,19,3,5,60.0,1,2,50.0,7,36.8,9,47.4,2,10.5,3,15.8,1,5.3
Jackson Rowe,GSW,2,2,29,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jimmy Butler III,GSW,19,19,606,228,37,66,56.1,43,50,86.0,118,51.8,126,55.3,30,13.2,8,3.5,25,11.0
Jonathan Kuminga,GSW,19,19,506,192,38,97,39.2,31,48,64.6,108,56.3,56,29.2,9,4.7,10,5.2,25,13.0
Kevin Knox II,GSW,3,3,13,2,0,1,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Kevon Looney,GSW,31,31,450,21,7,12,58.3,0,0,0.0,14,66.7,8,38.1,5,23.8,1,4.8,0,0.0
Moses Moody,GSW,29,29,620,100,21,46,45.7,7,10,70.0,52,52.0,38,38.0,11,11.0,6,6.0,5,5.0
Pat Spencer,GSW,15,15,128,39,11,21,52.4,1,2,50.0,24,61.5,13,33.3,7,17.9,2,5.1,1,2.6
Quinten Post,GSW,16,16,223,8,2,6,33.3,0,0,0.0,5,62.5,2,25.0,1,12.5,0,0.0,0,0.0
Stephen Curry,GSW,29,29,948,272,48,106,45.3,30,30,100.0,129,47.4,119,43.8,22,8.1,24,8.8,15,5.5
Trayce Jackson-Davis,GSW,29,29,496,29,3,19,15.8,2,2,100.0,9,31.0,9,31.0,4,13.8,0,0.0,1,3.4
Aaron Holiday,HOU,23,23,306,80,14,24,58.3,0,0,0.0,30,37.5,47,58.8,8,10.0,7,8.8,0,0.0
