PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Kyle Lowry,PHI,21,21,402,45,6,11,54.5,5,6,83.3,17,37.8,28,62.2,5,11.1,1,2.2,3,6.7
Lonnie Walker IV,PHI,17,17,408,102,21,41,51.2,6,8,75.0,49,48.0,52,51.0,13,12.7,5,4.9,4,3.9
Marcus Bagley,PHI,9,9,226,10,1,5,20.0,0,0,0.0,2,20.0,4,40.0,1,10.0,1,10.0,0,0.0
Oshae Brissett,PHI,5,5,117,11,4,6,66.7,3,4,75.0,12,109.1,2,18.2,0,0.0,1,9.1,2,18.2
Paul George,PHI,26,26,845,221,39,73,53.4,16,20,80.0,96,43.4,111,50.2,15,6.8,16,7.2,10,4.5
Quentin Grimes,PHI,46,46,1324,326,72,136,52.9,39,42,92.9,189,58.0,128,39.3,33,10.1,28,8.6,21,6.4
Reggie Jackson,PHI,20,20,218,40,9,20,45.0,0,0,0.0,18,45.0,15,37.5,2,5.0,3,7.5,1,2.5
Ricky Council IV,PHI,57,57,976,233,40,112,35.7,34,40,85.0,115,49.4,80,34.3,15,6.4,11,4.7,20,8.6
Tyrese Maxey,PHI,32,32,1194,450,116,262,44.3,65,72,90.3,310,68.9,116,25.8,26,5.8,25,5.6,36,8.0
Bol Bol,PHX,26,26,339,23,9,11,81.8,5,6,83.3,23,100.0,6,26.1,2,8.7,3,13.0,3,13.0
Bradley Beal,PHX,31,31,1001,338,85,147,57.8,37,44,84.1,213,63.0,135,39.9,27,8.0,18,5.3,23,6.8
Cody Martin,PHX,37,37,804,115,19,41,46.3,11,14,78.6,50,43.5,55,47.8,14,12.2,10,8.7,7,6.1
Collin Gillespie,PHX,21,21,294,65,11,28,39.3,7,8,87.5,30,46.2,31,47.7,6,9.2,2,3.1,4,6.2
Damion Lee,PHX,19,19,103,41,10,22,45.5,5,6,83.3,26,63.4,13,31.7,3,7.3,1,2.4,3,7.3
Devin Booker,PHX,40,40,1483,595,125,242,51.7,83,92,90.2,345,58.0,259,43.5,55,9.2,33,5.5,46,7.7
Grayson Allen,PHX,35,35,865,183,25,52,48.1,32,36,88.9,83,45.4,88,48.1,22,12.0,19,10.4,19,10.4
Jalen Bridges,PHX,7,7,30,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kevin Durant,PHX,29,29,1082,322,117,199,58.8,41,48,85.4,284,88.2,76,23.6,23,7.1,17,5.3,25,7.8
Mason Plumlee,PHX,41,41,753,28,1,7,14.3,3,6,50.0,5,17.9,16,57.1,4,14.3,1,3.6,3,10.7
Monté Morris,PHX,24,24,340,88,26,43,60.5,16,16,100.0,68,77.3,31,35.2,4,4.5,4,4.5,8,9.1
Nick Richards,PHX,40,40,829,13,4,9,44.4,5,8,62.5,13,100.0,0,0.0,0,0.0,0,0.0,4,30.8
Oso Ighodaro,PHX,36,36,593,34,3,9,33.3,2,4,50.0,8,23.5,18,52.9,3,8.8,2,5.9,2,5.9
Royce O'Neale,PHX,42,42,1034,74,7,32,21.9,3,4,75.0,17,23.0,38,51.4,10,13.5,2,2.7,2,2.7
Ryan Dunn,PHX,42,42,780,86,13,31,41.9,1,4,25.0,27,31.4,42,48.8,3,3.5,7,8.1,2,2.3
TyTy Washington Jr.,PHX,12,12,108,22,6,13,46.2,1,2,50.0,13,59.1,8,36.4,1,4.5,0,0.0,1,4.5
Tyus Jones,PHX,45,45,1160,218,50,121,41.3,12,14,85.7,112,51.4,75,34.4,14,6.4,11,5.0,7,3.2
Vasilije Micic,PHX,33,33,651,236,26,81,32.1,17,18,94.4,71,30.1,113,47.9,26,11.0,25,10.6,9,3.8
Anfernee Simons,POR,42,42,1375,382,96,215,44.7,39,44,88.6,239,62.6,120,31.4,34,8.9,19,5.0,22,5.8
Bryce McGowens,POR,5,5,12,4,2,2,100.0,0,0,0.0,4,100.0,2,50.0,0,0.0,0,0.0,0,0.0
Dalano Banton,POR,39,39,640,242,42,113,37.2,25,38,65.8,113,46.7,90,37.2,25,10.3,12,5.0,19,7.9
Deandre Ayton,POR,23,23,635,29,7,17,41.2,2,2,100.0,16,55.2,6,20.7,2,6.9,2,6.9,1,3.4
Deni Avdija,POR,39,39,1180,415,83,156,53.2,55,67,82.1,231,55.7,178,42.9,41,9.9,34,8.2,34,8.2
Donovan Clingan,POR,38,38,747,3,0,0,0.0,0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0
Duop Reath,POR,27,27,287,9,3,5,60.0,4,4,100.0,10,111.1,1,11.1,0,0.0,1,11.1,2,22.2
Jabari Walker,POR,37,37,473,51,10,28,35.7,5,6,83.3,26,51.0,11,21.6,2,3.9,7,13.7,3,5.9
Jerami Grant,POR,25,25,787,178,32,84,38.1,21,24,87.5,87,48.9,60,33.7,17,9.6,14,7.9,12,6.7
Justin Minaya,POR,11,11,52,6,1,2,50.0,0,0,0.0,2,33.3,4,66.7,0,0.0,0,0.0,0,0.0
Kris Murray,POR,38,38,553,87,15,36,41.7,4,10,40.0,37,42.5,41,47.1,11,12.6,5,5.7,5,5.7
Matisse Thybulle,POR,7,7,152,26,5,9,55.6,0,0,0.0,10,38.5,10,38.5,3,11.5,5,19.2,0,0.0
Rayan Rupert,POR,29,29,297,60,12,28,42.9,5,6,83.3,30,50.0,26,43.3,8,13.3,2,3.3,3,5.0
Robert Williams III,POR,13,13,213,2,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Scoot Henderson,POR,36,36,976,438,64,147,43.5,62,81,76.5,193,44.1,192,43.8,37,8.4,36,8.2,41,9.4
Shaedon Sharpe,POR,40,40,1255,366,94,184,51.1,40,50,80.0,240,65.6,120,32.8,24,6.6,24,6.6,25,6.8
Sidy Cissoko,POR,11,11,60,16,2,5,40.0,0,2,0.0,4,25.0,8,50.0,1,6.3,1,6.3,1,6.3
Toumani Camara,POR,45,45,1434,189,38,87,43.7,14,22,63.6,93,49.2,62,32.8,14,7.4,19,10.1,11,5.8
DeMar DeRozan,SAC,39,39,1440,374,88,168,52.4,53,62,85.5,237,63.4,149,39.8,21,5.6,12,3.2,31,8.3
Devin Carter,SAC,18,18,165,34,6,11,54.5,4,8,50.0,16,47.1,19,55.9,8,23.5,0,0.0,4,11.8
Domantas Sabonis,SAC,34,34,1229,130,24,49,49.0,13,20,65.0,61,46.9,60,46.2,13,10.0,6,4.6,10,7.7
Doug McDermott,SAC,21,21,204,2,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Isaac Jones,SAC,21,21,176,7,3,4,75.0,0,0,0.0,6,85.7,3,42.9,0,0.0,0,0.0,0,0.0
Isaiah Crawford,SAC,8,8,26,4,0,1,0.0,0,0,0.0,0,0.0,3,75.0,1,25.0,0,0.0,0,0.0
Jae Crowder,SAC,6,6,59,2,1,2,50.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Jake LaRavia,SAC,26,26,545,126,20,37,54.1,12,18,66.7,52,41.3,68,54.0,13,10.3,9,7.1,9,7.1
Jalen McDaniels,SAC,2,2,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jonas Valančiūnas,SAC,58,58,1061,55,24,43,55.8,6,6,100.0,54,98.2,6,10.9,0,0.0,2,3.6,3,5.5
Keegan Murray,SAC,40,40,1396,149,39,90,43.3,10,12,83.3,89,59.7,44,29.5,10,6.7,8,5.4,6,4.0
Keon Ellis,SAC,41,41,950,73,6,21,28.6,9,12,75.0,21,28.8,38,52.1,7,9.6,4,5.5,6,8.2
Malik Monk,SAC,29,29,951,396,73,150,48.7,23,28,82.1,175,44.2,197,49.7,46,11.6,23,5.8,14,3.5
Markelle Fultz,SAC,12,12,91,31,6,16,37.5,0,0,0.0,12,38.7,13,41.9,3,9.7,2,6.5,0,0.0
Mason Jones,SAC,6,6,29,10,4,4,100.0,0,0,0.0,8,80.0,6,60.0,3,30.0,0,0.0,0,0.0
Skal Labissiere,SAC,2,2,6,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Terry Taylor,SAC,2,2,4,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Trey Lyles,SAC,35,35,647,48,4,17,23.5,9,12,75.0,17,35.4,16,33.3,4,8.3,4,8.3,6,12.5
Zach LaVine,SAC,42,42,1490,418,83,171,48.5,40,50,80.0,214,51.2,173,41.4,29,6.9,31,7.4,25,6.0
Bismack Biyombo,SAS,18,18,348,2,0,0,0.0,0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0
Blake Wesley,SAS,35,35,406,145,16,39,41.0,15,26,57.7,47,32.4,75,51.7,20,13.8,16,11.0,13,9.0
Charles Bassey,SAS,22,22,238,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chris Paul,SAS,48,48,1335,214,33,66,50.0,8,8,100.0,75,35.0,123,57.5,40,18.7,14,6.5,4,1.9
De'Aaron Fox,SAS,35,35,1275,543,137,255,53.7,74,92,80.4,355,65.4,186,34.3,41,7.6,44,8.1,45,8.3
Devin Vassell,SAS,40,40,1242,298,70,145,48.3,24,27,88.9,171,57.4,114,38.3,23,7.7,19,6.4,14,4.7
Harrison Barnes,SAS,48,48,1286,189,43,86,50.0,41,51,80.4,130,68.8,62,32.8,12,6.3,11,5.8,26,13.8
Jeremy Sochan,SAS,33,33,778,123,16,47,34.0,8,12,66.7,43,35.0,55,44.7,13,10.6,11,8.9,6,4.9
Jordan McLaughlin,SAS,29,29,192,42,5,9,55.6,3,4,75.0,15,35.7,26,61.9,3,7.1,3,7.1,2,4.8
Julian Champagnie,SAS,48,48,1075,87,20,45,44.4,9,10,90.0,50,57.5,28,32.2,8,9.2,7,8.0,5,5.7
Keldon Johnson,SAS,46,46,1081,315,92,167,55.1,32,38,84.2,223,70.8,106,33.7,23,7.3,17,5.4,20,6.3
Malachi Flynn,SAS,2,2,10,4,0,0,0.0,0,0,0.0,0,0.0,3,75.0,1,25.0,1,25.0,0,0.0
Malaki Branham,SAS,29,29,227,61,18,40,45.0,7,8,87.5,43,70.5,12,19.7,3,4.9,2,3.3,4,6.6
Sandro Mamukelashvili,SAS,38,38,432,54,16,25,64.0,8,12,66.7,41,75.9,19,35.2,6,11.1,4,7.4,6,11.1
Stephon Castle,SAS,48,48,1245,454,90,200,45.0,58,80,72.5,250,55.1,169,37.2,48,10.6,35,7.7,40,8.8
Victor Wembanyama,SAS,25,25,839,115,25,48,52.1,13,16,81.3,65,56.5,38,33.0,9,7.8,15,13.0,8,7.0
A.J. Lawson,TOR,12,12,221,39,5,15,33.3,6,8,75.0,16,41.0,16,41.0,2,5.1,1,2.6,4,10.3
Brandon Ingram,TOR,13,13,420,156,33,60,55.0,20,24,83.3,87,55.8,66,42.3,17,10.9,13,8.3,12,7.7
Bruno Fernando,TOR,15,15,133,4,1,3,33.3,0,0,0.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0
Chris Boucher,TOR,32,32,553,34,9,19,47.4,2,4,50.0,21,61.8,8,23.5,4,11.8,4,11.8,2,5.9
Colin Castleton,TOR,11,11,237,9,2,5,40.0,0,0,0.0,4,44.4,4,44.4,1,11.1,0,0.0,0,0.0
D.J. Carton,TOR,3,3,18,3,0,2,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Garrett Temple,TOR,17,17,132,16,2,6,33.3,0,0,0.0,4,25.0,8,50.0,0,0.0,2,12.5,0,0.0
Gradey Dick,TOR,39,39,1172,199,41,99,41.4,27,32,84.4,110,55.3,66,33.2,17,8.5,10,5.0,16,8.0
Immanuel Quickley,TOR,21,21,596,226,40,88,45.5,31,36,86.1,112,49.6,105,46.5,21,9.3,8,3.5,18,8.0
Ja'Kobe Walter,TOR,33,33,702,134,28,65,43.1,19,22,86.4,76,56.7,50,37.3,11,8.2,6,4.5,11,8.2
Jakob Poeltl,TOR,36,36,1073,50,15,28,53.6,4,4,100.0,35,70.0,11,22.0,3,6.0,2,4.0,2,4.0
Jamal Shead,TOR,47,47,930,328,51,115,44.3,12,14,85.7,122,37.2,174,53.0,54,16.5,19,5.8,7,2.1
Jamison Battle,TOR,38,38,663,34,7,14,50.0,0,0,0.0,14,41.2,17,50.0,4,11.8,1,2.9,0,0.0
Jared Rhoden,TOR,6,6,60,15,2,5,40.0,4,4,100.0,9,60.0,4,26.7,0,0.0,2,13.3,2,13.3
Jonathan Mogbo,TOR,45,45,937,102,10,44,22.7,1,2,50.0,23,22.5,48,47.1,6,5.9,4,3.9,1,1.0
Ochai Agbaji,TOR,45,45,1232,109,27,52,51.9,4,6,66.7,59,54.1,42,38.5,11,10.1,6,5.5,3,2.8
Orlando Robinson,TOR,21,21,334,12,3,8,37.5,2,2,100.0,8,66.7,3,25.0,0,0.0,0,0.0,1,8.3
RJ Barrett,TOR,35,35,1151,463,105,227,46.3,47,70,67.1,264,57.0,158,34.1,47,10.2,33,7.1,35,7.6
Scottie Barnes,TOR,39,39,1305,395,83,183,45.4,49,66,74.2,220,55.7,147,37.2,41,10.4,18,4.6,33,8.4
Ulrich Chomche,TOR,4,4,18,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Brice Sensabaugh,UTA,57,57,1149,194,38,91,41.8,23,26,88.5,103,53.1,65,33.5,12,6.2,21,10.8,13,6.7
Cody Williams,UTA,41,41,864,102,20,53,37.7,8,10,80.0,50,49.0,30,29.4,4,3.9,11,10.8,5,4.9
Collin Sexton,UTA,49,49,1352,625,154,298,51.7,100,118,84.7,424,67.8,196,31.4,51,8.2,49,7.8,60,9.6
Elijah Harkless,UTA,9,9,119,11,1,5,20.0,1,2,50.0,3,27.3,4,36.4,1,9.1,1,9.1,1,9.1
Isaiah Collier,UTA,57,57,1473,540,66,172,38.4,49,72,68.1,188,34.8,258,47.8,80,14.8,58,10.7,36,6.7
Jaden Springer,UTA,21,21,207,43,6,12,50.0,2,4,50.0,15,34.9,23,53.5,7,16.3,6,14.0,2,4.7
John Collins,UTA,28,28,847,156,44,84,52.4,28,37,75.7,120,76.9,37,23.7,10,6.4,12,7.7,19,12.2
Johnny Juzang,UTA,49,49,992,91,23,53,43.4,0,0,0.0,47,51.6,29,31.9,6,6.6,9,9.9,0,0.0
Jordan Clarkson,UTA,27,27,733,339,67,141,47.5,43,52,82.7,180,53.1,131,38.6,30,8.8,33,9.7,26,7.7
KJ Martin,UTA,32,32,652,49,8,17,47.1,5,6,83.3,22,44.9,26,53.1,7,14.3,3,6.1,3,6.1
Keyonte George,UTA,54,54,1724,482,96,227,42.3,89,110,80.9,296,61.4,154,32.0,46,9.5,37,7.7,56,11.6
Kyle Filipowski,UTA,59,59,1245,146,33,59,55.9,18,26,69.2,88,60.3,53,36.3,8,5.5,14,9.6,13,8.9
Lauri Markkanen,UTA,38,38,1187,162,39,76,51.3,31,34,91.2,111,68.5,42,25.9,5,3.1,16,9.9,17,10.5
Micah Potter,UTA,28,28,541,19,1,4,25.0,2,2,100.0,4,21.1,12,63.2,2,10.5,2,10.5,1,5.3
Oscar Tshiebwe,UTA,11,11,199,3,1,3,33.3,0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Svi Mykhailiuk,UTA,32,32,636,150,20,58,34.5,10,12,83.3,52,34.7,73,48.7,15,10.0,10,6.7,6,4.0
Walker Kessler,UTA,44,44,1338,13,3,6,50.0,0,4,0.0,6,46.2,4,30.8,1,7.7,1,7.7,2,15.4
AJ Johnson,WAS,21,21,493,111,23,60,38.3,15,16,93.8,61,55.0,34,30.6,5,4.5,6,5.4,8,7.2
Alex Sarr,WAS,54,54,1465,181,45,111,40.5,24,38,63.2,116,64.1,36,19.9,7,3.9,11,6.1,19,10.5
Anthony Gill,WAS,44,44,352,33,11,19,57.9,15,16,93.8,37,112.1,4,12.1,0,0.0,2,6.1,8,24.2
Bilal Coulibaly,WAS,46,46,1522,378,68,160,42.5,45,68,66.2,192,50.8,139,36.8,27,7.1,35,9.3,34,9.0
Bub Carrington,WAS,64,64,1936,289,51,119,42.9,14,16,87.5,121,41.9,128,44.3,26,9.0,26,9.0,8,2.8
Colby Jones,WAS,27,27,402,85,17,33,51.5,5,6,83.3,40,47.1,43,50.6,8,9.4,3,3.5,3,3.5
Corey Kispert,WAS,47,47,1224,220,55,111,49.5,20,22,90.9,131,59.5,75,34.1,17,7.7,18,8.2,11,5.0
JT Thor,WAS,10,10,162,16,2,10,20.0,2,2,100.0,6,37.5,4,25.0,1,6.3,1,6.3,1,6.3
Jaylen Martin,WAS,13,13,204,47,8,22,36.4,4,4,100.0,20,42.6,20,42.6,8,17.0,3,6.4,2,4.3
Jaylen Nowell,WAS,7,7,144,46,10,26,38.5,2,2,100.0,23,50.0,12,26.1,3,6.5,5,10.9,1,2.2
Johnny Davis,WAS,30,30,219,31,9,21,42.9,3,6,50.0,21,67.7,5,16.1,2,6.5,2,6.5,3,9.7
Jordan Poole,WAS,53,53,1541,452,96,205,46.8,55,66,83.3,252,55.8,156,34.5,36,8.0,39,8.6,35,7.7
Justin Champagnie,WAS,46,46,989,88,17,40,42.5,12,20,60.0,48,54.5,28,31.8,7,8.0,8,9.1,10,11.4
Khris Middleton,WAS,19,19,417,71,9,28,32.1,6,6,100.0,25,35.2,31,43.7,11,15.5,6,8.5,3,4.2
Kyshawn George,WAS,53,53,1399,236,33,83,39.8,32,40,80.0,100,42.4,112,47.5,23,9.7,18,7.6,20,8.5
Malcolm Brogdon,WAS,18,18,420,216,46,92,50.0,32,36,88.9,127,58.8,86,39.8,16,7.4,14,6.5,19,8.8
Marcus Smart,WAS,17,17,327,94,15,38,39.5,8,12,66.7,39,41.5,39,41.5,9,9.6,8,8.5,6,6.4
Richaun Holmes,WAS,22,22,362,11,4,7,57.1,1,2,50.0,9,81.8,3,27.3,1,9.1,0,0.0,1,9.1
Tristan Vukcevic,WAS,28,28,380,41,9,24,37.5,11,12,91.7,30,73.2,6,14.6,1,2.4,4,9.8,6,14.6
