PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Bub Carrington,WAS,18,18,522,67,11,24,45.8,3,4,75,25,37.3,32,47.8,6,9,9,13.4,2,3
Colby Jones,WAS,12,12,113,25,9,17,52.9,0,0,0,18,72,7,28,1,4,1,4,0,0
Corey Kispert,WAS,14,14,378,63,16,26,61.5,3,4,75,35,55.6,29,46,8,12.7,4,6.3,2,3.2
JT Thor,WAS,10,10,87,12,4,6,66.7,2,2,100,10,83.3,1,8.3,0,0,4,33.3,1,8.3
Jaylen Martin,WAS,3,3,35,5,2,3,66.7,0,0,0,5,100,2,40,0,0,0,0,0,0
Jaylen Nowell,WAS,1,1,24,5,0,3,0,1,2,50,1,20,1,20,1,20,0,0,1,20
Johnny Davis,WAS,4,4,23,2,0,1,0,0,0,0,0,0,1,50,0,0,0,0,0,0
Jordan Poole,WAS,15,15,460,99,23,48,47.9,14,16,87.5,60,60.6,29,29.3,6,6.1,11,11.1,8,8.1
Justin Champagnie,WAS,16,16,352,25,5,12,41.7,1,4,25,11,44,7,28,1,4,4,16,2,8
Khris Middleton,WAS,18,18,426,87,21,41,51.2,7,8,87.5,50,57.5,39,44.8,16,18.4,2,2.3,4,4.6
Kyshawn George,WAS,15,15,403,61,12,18,66.7,7,8,87.5,32,52.5,34,55.7,8,13.1,2,3.3,4,6.6
Malcolm Brogdon,WAS,6,6,144,64,13,29,44.8,7,10,70,36,56.3,24,37.5,8,12.5,4,6.3,5,7.8
Marcus Smart,WAS,17,17,353,87,18,40,45,8,10,80,44,50.6,30,34.5,8,9.2,5,5.7,5,5.7
Richaun Holmes,WAS,9,9,172,7,2,3,66.7,2,2,100,6,85.7,2,28.6,1,14.3,0,0,1,14.3
Tristan Vukcevic,WAS,7,7,132,9,3,5,60,3,4,75,10,111.1,2,22.2,0,0,0,0,2,22.2
