PLAYER,TEAM,GP,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,L_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Noah Clowney,BKN,35,35,798,75,6,32,18.8,10,11,90.9,22,29.3,23,30.7,5,6.7,9,12.0,6,8.0,1.5789473684210527,1.5789473684210527,3.3834586466165413,0.2706766917293233,1.443609022556391,0.8481203007518797,0.45112781954887216,0.49624060150375937,4.100751879699248,0.9924812030075187,1.3218045112781955,1.037593984962406,1.3849624060150376,0.22556390977443608,0.3022556390977444,0.40601503759398494,0.5413533834586466,0.2706766917293233,0.3609022556390977
Reece Beekman,BKN,23,23,358,98,16,40,40.0,14,18,77.8,44,44.9,44,44.9,5,5.1,3,3.1,8,8.2,2.3128491620111733,2.3128491620111733,9.854748603351954,1.6089385474860336,4.022346368715084,4.022346368715084,1.4078212290502794,1.8100558659217878,7.823463687150838,4.424581005586592,4.5150837988826815,4.424581005586592,4.5150837988826815,0.5027932960893855,0.5128491620111731,0.3016759776536313,0.311731843575419,0.8044692737430168,0.8245810055865921
Tosan Evbuomwan,BKN,20,20,475,130,28,62,45.2,18,28,64.3,76,58.5,39,30.0,9,6.9,11,8.5,14,10.8,1.5157894736842106,1.5157894736842106,9.852631578947369,2.1221052631578945,4.698947368421052,3.425684210526316,1.3642105263157895,2.1221052631578945,4.873263157894737,5.76,4.433684210526316,2.9557894736842103,2.2736842105263158,0.6821052631578948,0.5229473684210527,0.8336842105263158,0.6442105263157895,1.0610526315789472,0.8185263157894738
Trendon Watford,BKN,28,28,578,230,55,109,50.5,27,39,69.2,142,61.7,76,33.0,22,9.6,19,8.3,20,8.7,1.7439446366782008,1.7439446366782008,14.325259515570934,3.42560553633218,6.788927335640139,3.1453287197231834,1.6816608996539792,2.429065743944637,4.310034602076125,8.844290657439446,3.842906574394464,4.73356401384083,2.055363321799308,1.370242214532872,0.5979238754325259,1.1833910034602075,0.5169550173010381,1.245674740484429,0.5418685121107266
Tyrese Martin,BKN,44,44,1000,204,39,84,46.4,14,16,87.5,93,45.6,87,42.6,26,12.7,22,10.8,8,3.9,1.5839999999999999,1.5839999999999999,7.343999999999999,1.404,3.024,1.6703999999999999,0.504,0.5760000000000001,3.15,3.348,1.6416,3.1319999999999997,1.5335999999999999,0.9359999999999999,0.4572,0.7919999999999999,0.38880000000000003,0.28800000000000003,0.1404
Tyson Etienne,BKN,6,6,126,11,1,1,100.0,3,4,75.0,5,45.5,6,54.5,0,0.0,0,0.0,2,18.2,1.7142857142857142,1.7142857142857142,3.142857142857143,0.2857142857142857,0.2857142857142857,28.57142857142857,0.8571428571428571,1.1428571428571428,21.428571428571427,1.4285714285714284,13.0,1.7142857142857142,15.571428571428573,0.0,0.0,0.0,0.0,0.5714285714285714,5.199999999999999
Ziaire Williams,BKN,41,41,977,112,18,55,32.7,19,20,95.0,57,50.9,31,27.7,4,3.6,11,9.8,11,9.8,1.510747185261003,1.510747185261003,4.126919140225179,0.6632548618219037,2.0266120777891503,1.2049129989764586,0.7001023541453428,0.736949846468782,3.500511770726715,2.1003070624360287,1.87553735926305,1.142272262026612,1.020675537359263,0.1473899692937564,0.13265097236438075,0.4053224155578301,0.3611054247697032,0.4053224155578301,0.3611054247697032
Al Horford,BOS,16,16,441,13,3,5,60.0,0,0,0.0,6,46.2,7,53.8,1,7.7,1,7.7,0,0.0,1.306122448979592,1.306122448979592,1.0612244897959184,0.24489795918367346,0.40816326530612246,4.8979591836734695,0.0,0.0,0.0,0.4897959183673469,3.7714285714285714,0.5714285714285714,4.391836734693877,0.0816326530612245,0.6285714285714286,0.0816326530612245,0.6285714285714286,0.0,0.0
Baylor Scheierman,BOS,4,4,64,13,4,7,57.1,2,2,100.0,10,76.9,3,23.1,0,0.0,0,0.0,1,7.7,2.25,2.25,7.3125,2.25,3.9375,32.11875,1.125,1.125,56.25,5.625,43.25625,1.6875,12.99375,0.0,0.0,0.0,0.0,0.5625,4.33125
Derrick White,BOS,18,18,612,81,16,27,59.3,6,8,75.0,39,48.1,37,45.7,6,7.4,12,14.8,4,4.9,1.0588235294117647,1.0588235294117647,4.764705882352941,0.9411764705882353,1.5882352941176472,3.4882352941176467,0.3529411764705882,0.47058823529411764,4.411764705882352,2.2941176470588234,2.829411764705882,2.176470588235294,2.688235294117647,0.3529411764705882,0.43529411764705883,0.7058823529411764,0.8705882352941177,0.23529411764705882,0.2882352941176471
Drew Peterson,BOS,8,8,64,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,4.5,4.5,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,56.25,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,BOS,3,3,27,3,1,2,50.0,0,0,0.0,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,4.0,4.0,4.0,1.3333333333333333,2.6666666666666665,66.66666666666667,0.0,0.0,0.0,2.6666666666666665,88.93333333333334,0.0,0.0,0.0,0.0,1.3333333333333333,44.39999999999999,0.0,0.0
Jaylen Brown,BOS,17,17,621,238,58,113,51.3,19,30,63.3,140,58.8,80,33.6,23,9.7,19,8.0,15,6.3,0.9855072463768116,0.9855072463768116,13.797101449275361,3.36231884057971,6.550724637681159,2.9739130434782606,1.1014492753623188,1.7391304347826086,3.6695652173913045,8.115942028985508,3.408695652173913,4.637681159420289,1.9478260869565218,1.3333333333333333,0.5623188405797102,1.1014492753623188,0.463768115942029,0.8695652173913043,0.3652173913043478
Jayson Tatum,BOS,19,19,713,227,55,103,53.4,42,54,77.8,160,70.5,78,34.4,22,9.7,11,4.8,27,11.9,0.9593267882187938,0.9593267882187938,11.461430575035063,2.7769985974754556,5.2005610098176716,2.6962131837307153,2.120617110799439,2.7265077138849927,3.928190743338008,8.078541374474053,3.5596072931276295,3.9382889200561007,1.7368863955119214,1.1107994389901823,0.4897615708274894,0.5553997194950911,0.2423562412342216,1.3632538569424963,0.6008415147265077
Jordan Walsh,BOS,13,13,93,4,0,2,0.0,0,2,0.0,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,5.032258064516128,5.032258064516128,1.5483870967741937,0.0,0.7741935483870969,0.0,0.0,0.7741935483870969,0.0,0.0,0.0,0.38709677419354843,9.677419354838708,0.0,0.0,0.0,0.0,0.38709677419354843,9.677419354838708
Jrue Holiday,BOS,15,15,458,78,18,34,52.9,4,4,100.0,41,52.6,37,47.4,11,14.1,5,6.4,2,2.6,1.1790393013100438,1.1790393013100438,6.131004366812228,1.4148471615720524,2.6724890829694328,4.158078602620088,0.31441048034934493,0.31441048034934493,7.860262008733625,3.222707423580786,4.134497816593886,2.908296943231441,3.725764192139738,0.8646288209606987,1.108296943231441,0.3930131004366812,0.503056768558952,0.15720524017467247,0.20436681222707426
Kristaps Porziņģis,BOS,12,12,350,15,1,7,14.3,4,4,100.0,7,46.7,6,40.0,0,0.0,0,0.0,2,13.3,1.2342857142857144,1.2342857142857144,1.542857142857143,0.10285714285714286,0.72,1.4708571428571429,0.4114285714285714,0.4114285714285714,10.285714285714285,0.72,4.803428571428571,0.6171428571428572,4.114285714285714,0.0,0.0,0.0,0.0,0.2057142857142857,1.3679999999999999
Luke Kornet,BOS,20,20,327,3,2,2,100.0,0,0,0.0,4,133.3,1,33.3,0,0.0,0,0.0,0,0.0,2.2018348623853212,2.2018348623853212,0.3302752293577982,0.22018348623853212,0.22018348623853212,11.009174311926605,0.0,0.0,0.0,0.44036697247706424,14.675229357798166,0.11009174311926606,3.6660550458715595,0.0,0.0,0.0,0.0,0.0,0.0
Miles Norris,BOS,1,1,19,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.894736842105263,1.894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neemias Queta,BOS,16,16,211,3,0,1,0.0,0,0,0.0,0,0.0,1,33.3,1,33.3,1,33.3,0,0.0,2.7298578199052135,2.7298578199052135,0.5118483412322274,0.0,0.17061611374407584,0.0,0.0,0.0,0.0,0.0,0.0,0.17061611374407584,5.6815165876777245,0.17061611374407584,5.6815165876777245,0.17061611374407584,5.6815165876777245,0.0,0.0
Payton Pritchard,BOS,21,21,612,105,22,37,59.5,6,6,100.0,51,48.6,60,57.1,9,8.6,3,2.9,3,2.9,1.2352941176470589,1.2352941176470589,6.176470588235294,1.2941176470588234,2.176470588235294,3.5,0.3529411764705882,0.3529411764705882,5.882352941176471,3.0,2.8588235294117643,3.5294117647058822,3.3588235294117648,0.5294117647058824,0.5058823529411764,0.1764705882352941,0.17058823529411762,0.1764705882352941,0.17058823529411762
Sam Hauser,BOS,19,19,356,10,2,3,66.7,0,0,0.0,4,40.0,7,70.0,2,20.0,0,0.0,0,0.0,1.9213483146067416,1.9213483146067416,1.0112359550561798,0.20224719101123595,0.3033707865168539,6.744943820224719,0.0,0.0,0.0,0.4044943820224719,4.044943820224719,0.7078651685393258,7.078651685393258,0.20224719101123595,2.0224719101123596,0.0,0.0,0.0,0.0
Torrey Craig,BOS,10,10,131,9,2,2,100.0,0,0,0.0,4,44.4,4,44.4,1,11.1,3,33.3,0,0.0,2.7480916030534353,2.7480916030534353,2.4732824427480917,0.549618320610687,0.549618320610687,27.480916030534353,0.0,0.0,0.0,1.099236641221374,12.20152671755725,1.099236641221374,12.20152671755725,0.2748091603053435,3.0503816793893126,0.8244274809160306,9.151145038167938,0.0,0.0
Xavier Tillman,BOS,7,7,31,3,0,1,0.0,0,0,0.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,8.129032258064516,8.129032258064516,3.4838709677419355,0.0,1.161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,1.161290322580645,38.67096774193548,0.0,0.0,1.161290322580645,38.67096774193548,0.0,0.0
Brandon Miller,CHA,19,19,669,158,32,82,39.0,29,30,96.7,95,60.1,53,33.5,11,7.0,7,4.4,15,9.5,1.0224215246636772,1.0224215246636772,8.502242152466367,1.7219730941704037,4.4125560538116595,2.098654708520179,1.5605381165919283,1.6143497757847534,5.203587443946189,5.112107623318385,3.2340807174887893,2.852017937219731,1.8026905829596414,0.5919282511210763,0.37668161434977576,0.37668161434977576,0.2367713004484305,0.8071748878923767,0.5112107623318386
DaQuan Jeffries,CHA,38,38,839,88,22,53,41.5,6,8,75.0,52,59.1,23,26.1,5,5.7,6,6.8,4,4.5,1.630512514898689,1.630512514898689,3.7759237187127535,0.9439809296781884,2.2741358760429087,1.7806912991656736,0.2574493444576877,0.34326579261025025,3.2181168057210967,2.231227651966627,2.535876042908224,0.9868891537544696,1.1199046483909416,0.21454112038140644,0.24457687723480334,0.2574493444576877,0.29177592371871275,0.17163289630512513,0.1930870083432658
Damion Baugh,CHA,14,14,341,92,14,43,32.6,2,2,100.0,30,32.6,40,43.5,10,10.9,7,7.6,1,1.1,1.4780058651026393,1.4780058651026393,9.712609970674485,1.4780058651026393,4.539589442815249,3.441642228739003,0.21114369501466276,0.21114369501466276,10.557184750733139,3.1671554252199416,3.441642228739003,4.222873900293255,4.592375366568914,1.0557184750733137,1.1507331378299122,0.7390029325513197,0.8023460410557184,0.10557184750733138,0.11612903225806454
Grant Williams,CHA,10,10,304,24,0,11,0.0,4,4,100.0,4,16.7,7,29.2,1,4.2,3,12.5,2,8.3,1.1842105263157894,1.1842105263157894,2.8421052631578947,0.0,1.3026315789473686,0.0,0.47368421052631576,0.47368421052631576,11.842105263157896,0.47368421052631576,1.9776315789473684,0.8289473684210525,3.457894736842105,0.11842105263157894,0.4973684210526316,0.35526315789473684,1.480263157894737,0.23684210526315788,0.9828947368421053
Isaiah Wong,CHA,18,18,244,94,18,46,39.1,15,18,83.3,52,55.3,30,31.9,3,3.2,9,9.6,9,9.6,2.6557377049180326,2.6557377049180326,13.868852459016393,2.6557377049180326,6.786885245901638,5.768852459016394,2.2131147540983607,2.6557377049180326,12.290163934426229,7.672131147540983,8.159016393442622,4.426229508196721,4.7065573770491795,0.4426229508196721,0.4721311475409836,1.3278688524590163,1.4163934426229507,1.3278688524590163,1.4163934426229507
Josh Green,CHA,51,51,1452,179,21,55,38.2,9,16,56.3,52,29.1,88,49.2,19,10.6,17,9.5,9,5.0,1.2644628099173554,1.2644628099173554,4.43801652892562,0.5206611570247934,1.3636363636363638,0.9471074380165291,0.2231404958677686,0.39669421487603307,1.3958677685950411,1.2892561983471076,0.7214876033057852,2.1818181818181817,1.2198347107438017,0.47107438016528924,0.2628099173553719,0.42148760330578516,0.23553719008264462,0.2231404958677686,0.12396694214876033
Josh Okogie,CHA,29,29,522,131,22,52,42.3,30,38,78.9,77,58.8,46,35.1,9,6.9,7,5.3,19,14.5,2.0,2.0,9.03448275862069,1.517241379310345,3.5862068965517238,2.9172413793103447,2.0689655172413794,2.6206896551724137,5.4413793103448285,5.310344827586206,4.055172413793104,3.172413793103448,2.420689655172414,0.6206896551724138,0.47586206896551725,0.4827586206896552,0.3655172413793103,1.3103448275862069,1.0
