PLAYER,TEAM,GP,W,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,GP_Per36,W_Per36,DRIVES_Per36,FGM_Per36,FGA_Per36,FG%_Per36,FTM_Per36,FTA_Per36,FT%_Per36,PTS_Per36,PTS%_Per36,PASS_Per36,PASS%_Per36,AST_Per36,AST%_Per36,TO_Per36,TOV%_Per36,PF_Per36,PF%_Per36
Baylor Scheierman,BOS,27,27,320,32,5,10,50.0,4,6,66.7,15,46.9,15,46.9,7,21.9,4,12.5,3,9.4,3.0375,3.0375,3.6,0.5625,1.125,5.625,0.45,0.6749999999999999,7.50375,1.6875,5.276249999999999,1.6875,5.276249999999999,0.7875,2.46375,0.45,1.40625,0.33749999999999997,1.0575
Derrick White,BOS,58,58,1962,285,71,128,55.5,45,50,90.0,193,67.7,105,36.8,30,10.5,19,6.7,25,8.8,1.0642201834862386,1.0642201834862386,5.229357798165138,1.3027522935779816,2.3486238532110093,1.018348623853211,0.8256880733944955,0.9174311926605504,1.651376146788991,3.5412844036697244,1.2422018348623856,1.926605504587156,0.6752293577981652,0.5504587155963303,0.19266055045871558,0.34862385321100914,0.12293577981651377,0.4587155963302752,0.1614678899082569
Drew Peterson,BOS,17,17,122,11,2,3,66.7,0,0,0.0,4,36.4,7,63.6,1,9.1,1,9.1,0,0.0,5.016393442622951,5.016393442622951,3.2459016393442623,0.5901639344262295,0.8852459016393442,19.681967213114753,0.0,0.0,0.0,1.180327868852459,10.740983606557377,2.0655737704918034,18.767213114754096,0.29508196721311475,2.685245901639344,0.29508196721311475,2.685245901639344,0.0,0.0
JD Davison,BOS,13,13,66,24,5,11,45.5,1,2,50.0,11,45.8,7,29.2,2,8.3,4,16.7,1,4.2,7.090909090909091,7.090909090909091,13.090909090909092,2.7272727272727275,6.0,24.81818181818182,0.5454545454545454,1.0909090909090908,27.272727272727273,6.0,24.981818181818177,3.8181818181818183,15.927272727272726,1.0909090909090908,4.527272727272727,2.1818181818181817,9.109090909090908,0.5454545454545454,2.290909090909091
Jaylen Brown,BOS,46,46,1537,559,138,266,51.9,59,74,79.7,346,61.9,200,35.8,61,10.9,36,6.4,37,6.6,1.077423552374756,1.077423552374756,13.093038386467144,3.232270657124268,6.230318802862719,1.2156148340923878,1.3819128171763173,1.7332465842550424,1.866753415744958,8.104098893949253,1.449837345478204,4.68445022771633,0.8385165907612231,1.4287573194534808,0.25530253741054,0.8432010409889394,0.14990240728692258,0.8666232921275212,0.1545868575146389
Jayson Tatum,BOS,53,53,1911,514,146,256,57.0,79,92,85.9,381,74.1,161,31.3,48,9.3,30,5.8,46,8.9,0.9984301412872841,0.9984301412872841,9.682888540031398,2.7503924646781788,4.822605965463109,1.0737833594976451,1.488226059654631,1.7331240188383046,1.618210361067504,7.177394034536892,1.3959183673469389,3.0329670329670333,0.5896389324960754,0.9042386185243328,0.17519623233908949,0.5651491365777079,0.10926216640502354,0.8665620094191523,0.1676609105180534
Jordan Walsh,BOS,39,39,310,20,7,9,77.8,3,4,75.0,18,90.0,6,30.0,1,5.0,3,15.0,2,10.0,4.5290322580645155,4.5290322580645155,2.32258064516129,0.8129032258064516,1.0451612903225806,9.03483870967742,0.34838709677419355,0.4645161290322581,8.70967741935484,2.0903225806451613,10.451612903225808,0.6967741935483871,3.4838709677419355,0.11612903225806452,0.5806451612903225,0.34838709677419355,1.7419354838709677,0.23225806451612904,1.161290322580645
Jrue Holiday,BOS,47,47,1438,217,48,92,52.2,23,24,95.8,121,55.8,98,45.2,29,13.4,12,5.5,12,5.5,1.17663421418637,1.17663421418637,5.432545201668985,1.2016689847009736,2.303198887343533,1.306815020862309,0.5757997218358832,0.6008344923504868,2.3983310152990263,3.0292072322670376,1.3969401947148816,2.4534075104311546,1.1315716272600835,0.7260083449235049,0.3354659248956885,0.3004172461752434,0.1376912378303199,0.3004172461752434,0.1376912378303199
Kristaps Porziņģis,BOS,30,30,860,49,18,29,62.1,12,12,100.0,49,100.0,10,20.4,1,2.0,2,4.1,6,12.2,1.255813953488372,1.255813953488372,2.0511627906976746,0.7534883720930232,1.213953488372093,2.5995348837209304,0.5023255813953489,0.5023255813953489,4.186046511627907,2.0511627906976746,4.186046511627907,0.41860465116279066,0.853953488372093,0.04186046511627907,0.08372093023255814,0.08372093023255814,0.17162790697674415,0.25116279069767444,0.5106976744186046
Luke Kornet,BOS,53,53,1034,9,4,4,100.0,0,0,0.0,8,88.9,4,44.4,0,0.0,0,0.0,0,0.0,1.8452611218568664,1.8452611218568664,0.31334622823984526,0.13926499032882012,0.13926499032882012,3.4816247582205024,0.0,0.0,0.0,0.27852998065764023,3.0951644100580276,0.13926499032882012,1.5458413926499033,0.0,0.0,0.0,0.0,0.0,0.0
